course_id,course_title,primary_instructor,average_grade
CS 542,Stat Reinforcement Learning,"Jiang, Nan",3.43
CS 545,Machine Learning for Signals,"Kim, Minje",3.73
CS 546,Adv Topics in NLP,"Ji, Heng",3.81
CS 555,Numerical Methods for PDEs,"Olson, Luke",3.81
CS 562,Adv. Trustworthy Mach. Lrng.,"Wang, Gang",3.89
CS 563,Advanced Computer Security,"Borisov, Nikita",3.78
CS 565,Ethics in AI,"Sultana, Sharifa",
CS 567,Social Spaces,"Karahalios, Kyratso G",3.85
CS 568,User-Centered Machine Learning,"Kumar, Ranjitha",3.89
CS 581,Algorithmic Genomic Biology,"Warnow, Tandy",
CS 588,Autonomous Vehicle System Eng,"Hauser, Kris",3.16
CS 598,3-D Vision,"Wang, Shenlong",3.97
CS 598,ADV Comp. Topics in Robotics,"Hauser, Kris",3.3
CS 598,AI Efficiency: Sys. & Algor.,"Zhang, Minjia",3.68
CS 598,Advanced Bayesian Modeling,"Park, Trevor H",3.6
CS 598,Advanced Data Structures,"Erickson, Jeff G",
CS 598,Advanced Perform Engineering,"Moses, William S",3.91
CS 598,Conversational AI,"Hakkani Tur, Dilek",3.78
CS 598,Data Mining Capstone,"Farivar, Reza",3.96
CS 598,Deep Generative Models,"Banerjee, Arindam",3.91
CS 598,Deep Learning For Healthcare,"Sun, Jimeng",
CS 598,Deep Learning with Graphs,"You, Jiaxuan",3.93
CS 598,Deep Lrng for Healthcare,"Sun, Jimeng",3.87
CS 598,Endpt Threat Detect. & Invest.,"Bates, Adam",3.85
CS 598,Fault-Tol Consistent Data Sys,"Ganesan, Aishwarya",3.82
CS 598,Foundations of Data Curation,"Willis, Craig A",3.93
CS 598,Gen Mod for BioMed & Life Sci,"Liu, Ge",3.89
CS 598,Generative Models for Audio,"Kim, Minje",
CS 598,Geometric Approx Algorithms,"Har-Peled, Sariel",
CS 598,Hot Topics in Data Management,"Park, Yongjoo",3.75
CS 598,How to Do Research,"Kang, Daniel",3.92
CS 598,LLM Post-pretraining,"Peng, Hao",3.9
